bench,arm,cfg,roi_n,cycles_per_op,insts_per_op,dit_writes,dit_set,dit_clear,dit_read,dit_suppressed,dit_exit,wall_s
aesni256gcm_decrypt,base,serdit,50,1088.0,1477.0,0.0,0.0,0.0,0.0,0.0,,26.4
aesni256gcm_decrypt,base,spec,50,1088.0,1477.0,0.0,0.0,0.0,0.0,0.0,,31.0
aesni256gcm_decrypt,blanket,serdit,50,1182.0,1477.0,0.0,0.0,0.0,0.0,0.0,,28.5
aesni256gcm_decrypt,blanket,spec,50,1182.0,1477.0,0.0,0.0,0.0,0.0,0.0,,26.4
aesni256gcm_decrypt,fine,serdit,50,1607.0,1495.0,900.0,600.0,300.0,0.0,0.0,,29.2
aesni256gcm_decrypt,fine,spec,50,1101.0,1495.0,900.0,600.0,300.0,0.0,0.0,,29.6
aesni256gcm_decrypt,nop,serdit,50,1093.6,1492.0,0.0,0.0,0.0,0.0,0.0,,26.3
aesni256gcm_decrypt,nop,spec,50,1093.6,1492.0,0.0,0.0,0.0,0.0,0.0,,26.4
aesni256gcm_decrypt,taint,serdit,50,1647.0,1492.0,750.0,550.0,200.0,0.0,0.0,,29.3
aesni256gcm_decrypt,taint,spec,50,1180.0,1492.0,750.0,550.0,200.0,0.0,0.0,,30.9
aesni256gcm_decrypt,taintfn,serdit,50,1695.0,1492.0,750.0,550.0,200.0,0.0,0.0,,27.1
aesni256gcm_decrypt,taintfn,spec,50,1216.0,1492.0,750.0,550.0,200.0,0.0,0.0,,26.3
aesni256gcm_encrypt,base,serdit,50,1219.2,1233.0,0.0,0.0,0.0,0.0,0.0,,30.4
aesni256gcm_encrypt,base,spec,50,1219.2,1233.0,0.0,0.0,0.0,0.0,0.0,,27.5
aesni256gcm_encrypt,blanket,serdit,50,1221.0,1233.0,0.0,0.0,0.0,0.0,0.0,,29.8
aesni256gcm_encrypt,blanket,spec,50,1221.0,1233.0,0.0,0.0,0.0,0.0,0.0,,31.1
aesni256gcm_encrypt,fine,serdit,50,1812.0,1261.0,1300.0,850.0,450.0,0.0,0.0,,27.5
aesni256gcm_encrypt,fine,spec,50,1225.0,1261.0,1300.0,850.0,450.0,0.0,0.0,,29.4
aesni256gcm_encrypt,nop,serdit,50,1206.2,1248.0,0.0,0.0,0.0,0.0,0.0,,30.6
aesni256gcm_encrypt,nop,spec,50,1206.2,1248.0,0.0,0.0,0.0,0.0,0.0,,26.4
aesni256gcm_encrypt,taint,serdit,50,1572.0,1248.0,750.0,550.0,200.0,0.0,0.0,,29.0
aesni256gcm_encrypt,taint,spec,50,1210.0,1248.0,750.0,550.0,200.0,0.0,0.0,,26.1
aesni256gcm_encrypt,taintfn,serdit,50,1588.4,1248.0,750.0,550.0,200.0,0.0,0.0,,30.2
aesni256gcm_encrypt,taintfn,spec,50,1212.0,1248.0,750.0,550.0,200.0,0.0,0.0,,26.4
